ID_ENCUESTA;ID_VEHICULO;TIPOVEHICULO;COMBUSTIBLE;MUNICIPIO_MATRICULA;PERTENECE_VEHICULO;PERSONA_DUENOVEHICULO;EXENTO_PICOYPLACA;RAZON_EXENTO;DONDE_GUARDAVEHICULO;VALOR_PARQUEO
18569554;1;Automovil;GNV;1101;;;N;vacio;Garaje/parqueadero propio;
18569565;1;Automovil;Solo gasolina;NR;S;S;N;vacio;Garaje/parqueadero propio;
18569568;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569571;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569614;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569629;1;Bicicleta a Motor (Adultos);Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569666;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569666;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18569667;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569725;1;Automovil;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18569756;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18569761;1;Campero;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18569789;1;Moto;Solo gasolina;NO SABE;S;N;S;;Garaje/parqueadero propio;
18569792;1;Moto;Solo gasolina;NO SABE;S;N;N;vacio;Garaje/parqueadero propio;
18569797;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569803;1;Automovil;GNV y gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18569803;2;Campero;GNV y gasolina;SOACHA;S;S;N;vacio;Garaje/parqueadero propio;
18569982;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18570006;1;Moto;Solo gasolina;286;S;S;S;;Garaje/parqueadero propio;
18570019;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18570019;2;Campero;Diesel;899;S;N;S;Transporte especial;Garaje/parqueadero propio;
18570020;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18570023;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18570028;1;Campero;GNV y gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18570207;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18570315;1;Campero;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18570323;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18570334;1;Moto;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18570444;1;Bicicleta a Motor (Adultos);Solo gasolina;EL ROSAL;S;S;N;vacio;Garaje/parqueadero propio;
18570445;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18570541;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18570541;2;Automovil;GNV y gasolina;BOGOTA;S;S;S;Transporte especial;Garaje/parqueadero propio;
18570547;1;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18570547;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18570702;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18570703;1;Taxi;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18570732;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18570800;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18570848;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18570851;1;Moto;Solo gasolina;VILLETA;S;S;S;;Garaje/parqueadero propio;
18570882;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18570919;2;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
18571000;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18571000;2;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18571282;1;Taxi;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18571467;1;Moto;Solo gasolina;SOACHA;S;S;N;vacio;Garaje/parqueadero propio;
18571471;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18571472;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18571482;1;Moto;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18571482;2;Moto;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18571597;1;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
18571601;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18571764;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18571764;3;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18573363;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18576946;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18578819;1;Moto;Solo gasolina;BOGOTA;S;S;S;Blindaje;Garaje/parqueadero propio;
18579666;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18579746;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18579748;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18579750;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18579750;2;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18580041;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18580641;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18580641;2;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18581590;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18581592;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18581598;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581601;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581601;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18581602;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581603;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581815;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18581824;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581825;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581825;2;Campero;Diesel;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581826;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581826;2;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581831;1;Automovil;Solo gasolina;CHIA;S;S;N;vacio;Garaje/parqueadero propio;
18581831;2;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581832;1;Moto;Solo gasolina;BOGOTA;;;S;;Garaje/parqueadero propio;
18581833;1;Automovil;Solo gasolina;CؼCUTA;S;S;N;vacio;Garaje/parqueadero propio;
18581834;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18581834;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
18581848;1;Campero;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581883;1;Automovil;Diesel;MOSQUERA;S;N;N;vacio;Garaje/parqueadero propio;
18581885;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581889;1;Taxi;Solo gasolina;BOGOTA;;;N;vacio;Garaje/parqueadero propio;
18581906;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18581991;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18581993;1;Pick Up;GNV;175;S;N;N;vacio;Garaje/parqueadero propio;
18581993;2;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18581994;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18582696;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18585200;1;Automovil;Solo gasolina;785;S;S;N;vacio;Garaje/parqueadero propio;
18585200;2;Automovil;Solo gasolina;785;S;S;N;vacio;Garaje/parqueadero propio;
18585200;3;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18586643;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18586646;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18586646;2;Moto;Solo gasolina;BOGOTA;S;;S;;Garaje/parqueadero propio;
