"Latitud";"Longitud";"Numero_Intersecciones";"LTS";"ID_Nodo"
4.6205707;-74.0726762;2;1;243
4.620571;-74.0735694;4;4;244
4.6205712;-74.0727413;2;2;245
4.6205742;-74.0726532;2;1;246
4.6205742;-74.0726362;2;1;247
4.6205862;-74.0727383;2;2;248
4.6205957;-74.0237778;2;2;249
4.6206007;-74.0727383;2;2;250
4.6206146;-74.0727393;2;2;251
4.6206276;-74.0727438;2;2;252
4.620633;-74.0230164;2;2;253
4.6206344;-74.0706507;2;4;254
4.620638;-74.0726529;2;1;255
4.6206387;-74.0243786;2;2;256
4.6206406;-74.0727508;2;2;257
4.6206489;-74.0762556;3;4;258
4.6206515;-74.0727618;2;2;259
4.6206615;-74.0727758;2;2;260
4.62067;-74.0727978;2;2;261
4.6206744;-74.0726694;2;4;262
4.6206745;-74.0728305;3;4;263
4.6206835;-74.0717502;2;4;264
4.6206879;-74.0238579;2;2;265
4.6206889;-74.0709415;3;4;266
4.6206974;-74.0726749;2;4;267
4.620712;-74.072676;4;4;268
4.6207195;-74.0750025;3;4;269
4.6207596;-74.0709074;3;4;270
4.6207692;-74.0711275;2;4;271
4.6207786;-74.0230632;2;2;272
4.620792;-74.0726782;4;4;273
4.6208015;-74.0242677;2;2;274
4.6208019;-74.0751334;2;4;275
4.6208186;-74.0710386;2;4;276
4.6208248;-74.070864;2;2;277
4.6208269;-74.0713146;2;4;278
4.6208353;-74.0239719;2;2;279
4.6208426;-74.072101;2;4;280
4.6208598;-74.0242092;2;2;281
4.6208599;-74.0711501;2;4;282
4.6208602;-74.0724126;2;4;283
4.6208605;-74.0044759;2;1;284
4.6208647;-74.0715065;2;4;285
4.6208671;-74.0726723;2;4;286
4.6208676;-74.0758828;4;2;287
4.620875;-74.0719084;2;4;288
4.6208839;-74.0723105;2;4;289
4.6208869;-74.0717226;4;4;290
4.6208936;-74.024126;2;2;291
4.6208936;-74.0240428;2;2;292
4.6209105;-74.0721952;2;4;293
4.6209252;-74.0717158;2;4;294
4.6209259;-74.0721287;2;4;295
4.6209279;-74.0714239;2;4;296
4.6209513;-74.0726618;2;4;297
4.620953;-74.0231902;2;2;298
4.6209538;-74.0719149;2;4;299
4.6209601;-74.0717097;4;4;300
4.6209734;-74.0209373;2;1;301
4.6209762;-74.0708109;2;2;302
4.6210655;-74.0232183;2;2;303
4.6210783;-74.0209431;2;1;304
4.621095;-74.0734833;3;2;305
4.6211021;-74.0765738;2;4;306
4.6211302;-74.0751465;2;4;307
4.6211567;-74.0232073;2;2;308
4.6211577;-74.0726241;3;4;309
4.6211646;-74.0043665;2;1;310
4.6211651;-74.020903;2;1;311
4.6211973;-74.0752739;4;2;312
4.6212131;-74.0741331;4;4;313
4.6212204;-74.0231662;2;2;314
4.6212389;-74.0730966;1;1;315
4.6212417;-74.0751859;3;2;316
4.6212574;-74.0230912;2;2;317
4.6212792;-74.0716533;2;4;318
4.6213148;-74.0707198;3;2;319
4.6213186;-74.069928;3;2;320
4.6213198;-74.0043864;2;1;321
4.6213344;-74.0230224;2;2;322
4.6213431;-74.0748961;4;4;323
4.6213728;-74.0753376;3;2;324
4.6213752;-74.071089;2;1;325
4.6213773;-74.0206467;2;1;326
4.6214011;-74.0712406;2;1;327
4.6214027;-74.0752441;4;2;328
4.621439;-74.0700816;2;2;329
4.6214711;-74.0768477;3;4;330
4.621483;-74.0045741;2;1;331
4.6214903;-74.0205629;2;1;332
4.6215048;-74.0698673;2;2;333
4.621554;-74.0716047;3;4;334
4.6215822;-74.0229157;2;2;335
4.6215973;-74.0712048;2;1;336
4.6216576;-74.0715864;3;4;337
4.6216581;-74.004622;2;1;338
4.6216906;-74.0698061;2;2;339
4.6217194;-74.0228147;2;2;340
4.6217367;-74.0725152;4;4;341
4.621763;-74.0763305;4;2;342
4.6217995;-74.0771628;2;4;343
4.6218596;-74.0772212;2;4;344
4.6218635;-74.0706234;4;2;345
4.6218749;-74.0733448;4;4;346
4.6219206;-74.0226987;2;2;347
4.6219252;-74.0697389;2;2;348
4.6219429;-74.0773058;2;4;349
4.6219736;-74.0739996;4;4;350
4.6220024;-74.0226237;2;2;351
4.6220361;-74.0773932;4;4;352
4.6220601;-74.0043984;2;1;353
4.6220673;-74.0225092;2;2;354
4.6220724;-74.020317;2;1;355
4.6221106;-74.0757016;2;2;356
4.6221111;-74.0747496;4;4;357
4.6221454;-74.075651;2;2;358
4.6221545;-74.0696851;3;2;359
4.6221662;-74.0220771;2;2;360
4.6221785;-74.0756081;4;2;361
4.6222208;-74.0755306;4;4;362
4.6222335;-74.0754042;3;2;363
4.6222342;-74.0754674;2;2;364
4.6222507;-74.020263;2;1;365
4.622273;-74.0775111;2;4;366
4.6222974;-74.0705422;4;4;367
4.6223217;-74.0776319;2;4;368
4.6223238;-74.069651;2;2;369
4.6223648;-74.0201902;2;1;370
4.6224008;-74.0215758;2;2;371
4.6224388;-74.0714348;6;4;372
4.6224794;-74.0767276;4;2;373
4.6224832;-74.0214891;2;2;374
4.6225227;-74.0027958;2;1;375
4.6225273;-74.0030969;2;1;376
4.6225479;-74.002743;2;1;377
4.6225631;-74.0031968;2;1;378
4.6225767;-74.0214389;2;2;379
4.6225822;-74.0723676;4;4;380
4.6225922;-74.0027281;2;1;381
4.6226053;-74.0041948;2;1;382
4.6226224;-74.0023824;2;1;383
4.6226343;-74.0027335;2;1;384
4.6226494;-74.0024398;2;1;385
4.6226536;-74.00233;2;1;386
4.6226923;-74.0027636;2;1;387
4.6227161;-74.0695721;2;2;388
4.6227226;-74.0779183;2;4;389
4.6227264;-74.0024934;2;1;390
4.6227327;-74.0023055;2;1;391
4.622748;-74.0731929;4;4;392
4.6227484;-74.0763172;3;2;393
4.6227527;-74.0214081;2;2;394
4.6227605;-74.0033962;2;1;395
4.6227782;-74.0694948;1;4;396
4.6228103;-74.0695531;4;4;397
4.6228565;-74.0023199;2;1;398
4.6228598;-74.073844;4;4;399
4.622878;-74.0029103;2;1;400
4.6228844;-74.0026922;2;1;401
4.6228936;-74.0020495;2;1;402
4.6228944;-74.0020833;2;1;403
4.6228979;-74.0696975;2;4;404
4.622914;-74.002111;2;1;405
4.6229289;-74.0020301;2;1;406
4.6229337;-74.0029179;2;1;407
4.6229454;-74.0697866;2;4;408
4.6229516;-74.0037555;2;1;409
4.622955;-74.002357;2;1;410
4.6229662;-74.0695247;3;2;411
4.622969;-74.0020255;2;1;412
4.6229711;-74.0028977;2;1;413
4.6229776;-74.0698603;2;4;414
4.6229818;-74.002832;2;1;415
4.6229866;-74.0745829;4;4;416
4.6229909;-74.0028652;2;1;417
4.6230042;-74.0699431;2;4;418
4.6230182;-74.0696975;2;4;419
4.6230266;-74.0700238;2;4;420
4.6230322;-74.0713435;2;4;421
4.6230331;-74.0759208;3;4;422
4.6230471;-74.0041149;2;1;423
4.6230546;-74.0698217;2;4;424
4.6230665;-74.070228;2;4;425
4.6230925;-74.0195971;2;1;426
4.6230952;-74.0704189;4;4;427
4.6231;-74.0699979;2;4;428
4.6231006;-74.0752466;4;2;429
4.6231147;-74.0771615;3;2;430
4.6231267;-74.0040271;2;1;431
4.6231323;-74.0722575;3;4;432
4.6231513;-74.0195121;2;1;433
4.6231521;-74.00245;2;1;434
4.6231538;-74.0020664;2;1;435
4.6231548;-74.020424;2;2;436
4.6231558;-74.0204958;2;2;437
4.6231651;-74.0191895;2;1;438
4.623172;-74.0194115;2;1;439
4.6231757;-74.0182207;2;1;440
4.623176;-74.0205536;2;2;441
4.6231784;-74.0183494;2;1;442
4.6231812;-74.070407;4;4;443
4.6231859;-74.0191115;2;1;444
4.6231925;-74.0203686;2;2;445
4.6232019;-74.0181475;2;1;446
4.623209;-74.0758954;3;4;447
4.623229;-74.0713087;4;4;448
4.6232346;-74.0022134;2;1;449
4.6232349;-74.0213146;2;2;450
4.6232439;-74.0024441;2;1;451
4.6232496;-74.0180773;2;1;452
4.6232593;-74.0694676;2;2;453
4.6232673;-74.0020465;2;1;454
4.6232714;-74.0191184;2;2;455
4.6232768;-74.019217;2;2;456
4.6232851;-74.0022447;2;1;457
4.6233003;-74.0016499;2;1;458
4.6233006;-74.0024116;2;1;459
4.6233011;-74.0015857;2;1;460
4.6233104;-74.002303;2;1;461
4.6233113;-74.0717466;2;4;462
4.6233117;-74.0189425;3;2;463
4.623312;-74.0759294;2;4;464
4.6233128;-74.0188579;2;1;465
4.6233188;-74.0023604;2;1;466
4.6233228;-74.018035;2;1;467
4.6233232;-74.0017059;2;1;468
4.6233242;-74.0202361;2;2;469
4.6233279;-74.0712913;4;4;470
4.6233397;-74.0194878;2;2;471
4.6233407;-74.0020081;2;1;472
4.6233551;-74.0201534;2;2;473
4.6233565;-74.0197897;2;2;474
4.6233582;-74.0196163;2;2;475
4.6233608;-74.0782777;3;2;476
4.6233786;-74.0018358;2;1;477
4.6233795;-74.0019498;2;1;478
4.6233837;-74.0013711;2;1;479
4.6233887;-74.0018848;2;1;480
4.6233946;-74.0766823;4;2;481
4.6234061;-74.0722121;4;4;482
4.623414;-74.0013466;2;1;483
4.6234145;-74.0718138;2;4;484
4.6234489;-74.0209248;2;2;485
4.6234645;-74.0013323;2;1;486
4.6234782;-74.0721974;4;4;487
4.6234861;-74.0179924;2;1;488
4.6234915;-74.0722779;3;4;489
4.6235267;-74.0212953;2;2;490
4.6235329;-74.0759063;2;2;491
4.6235337;-74.0759493;2;2;492
4.6235417;-74.0722881;2;4;493
4.6235513;-74.0564071;1;2;494
4.623552;-74.0730491;3;4;495
4.6235557;-74.0759846;2;2;496
4.6235558;-74.0758617;2;4;497
4.6235563;-74.0013331;2;1;498
4.6235683;-74.0212783;2;2;499
4.6235847;-74.0722292;2;4;500
4.6235879;-74.0722718;2;4;501
4.6235966;-74.0211115;2;2;502
4.6235979;-74.0760313;3;4;503
4.6235981;-74.0564071;2;2;504
4.6235998;-74.0721774;3;4;505
4.6236022;-74.0212501;2;2;506
4.6236049;-74.0758449;2;4;507
4.623606;-74.001323;2;1;508
4.6236102;-74.0211423;2;2;509
4.6236117;-74.0212128;2;2;510
4.6236134;-74.0723106;3;4;511
4.6236175;-74.0730375;3;4;512
4.623618;-74.078564;2;4;513
4.6236348;-74.0564125;2;2;514
4.6236731;-74.0784998;3;2;515
4.6236741;-74.0737008;4;4;516
4.6236769;-74.0564259;2;2;517
4.6236942;-74.0761529;3;4;518
4.6236983;-74.0785618;2;1;519
4.6237086;-74.0786908;1;2;520
4.623709;-74.056442;2;2;521
4.62371279587728;-74.0786287494303;3;4;522
4.6237138;-74.0786139;2;1;523
4.6237371;-74.0564615;2;2;524
4.6237407;-74.0012833;2;1;525
4.6237418;-74.073689;4;4;526
4.623765;-74.0693585;3;2;527
4.6237682;-74.0564888;2;2;528
4.6237696;-74.0776331;4;2;529
4.6237705;-74.0742148;2;4;530
4.62381;-74.0744257;4;4;531
4.6238261;-74.0741438;2;4;532
4.6238361;-74.0565569;2;2;533
4.6238585;-74.017953;2;1;534
4.6238762;-74.0744134;4;4;535
4.623884;-74.0786497;3;2;536
4.62388500319508;-74.0789811482049;1;4;537
4.6238997;-74.0789385;1;4;538
4.6239036;-74.0012685;2;1;539
4.6239167;-74.0566484;2;2;540
4.6239276;-74.0750785;3;4;541
4.623931;-74.0791404;1;2;542
4.6239351;-74.0702693;4;4;543
4.6239377;-74.0787191;2;4;544
4.6239466;-74.0786586;2;2;545
4.6239555;-74.0012875;2;1;546
4.62396978714632;-74.0788042848937;2;4;547
4.6239702;-74.0791425;2;4;548
4.6239715;-74.0587833;1;1;549
4.6239729;-74.0567208;2;2;550
4.6239785;-74.0787876;3;4;551
4.6239908;-74.0013246;2;1;552
4.62399411983813;-74.0788209051094;4;4;553
4.6239954;-74.0750729;3;4;554
4.6240011;-74.0786617;2;2;555
4.6240131;-74.0791687;2;4;556
4.6240144;-74.0588154;2;1;557
4.6240148;-74.078865;2;2;558
4.6240207;-74.0787366;2;4;559
4.6240328;-74.0720951;2;4;560
4.6240337;-74.0789666;2;2;561
4.6240364;-74.0794855;2;4;562
4.6240382;-74.0179181;2;1;563
4.6240387;-74.0568368;2;2;564
4.6240391;-74.0794163;2;2;565
4.62404556661276;-74.0790904035027;4;4;566
4.6240473;-74.0771952;3;2;567
4.6240501;-74.0791377;2;4;568
4.6240568;-74.0792064;3;4;569
4.624063;-74.0793683;2;2;570
4.6240631;-74.0757844;3;4;571
4.6240641;-74.0014514;2;1;572
4.6240646;-74.0786369;2;4;573
4.6240658;-74.0588703;2;1;574
4.6240662;-74.079713;2;4;575
4.6240727;-74.0793092;2;4;576
4.6240813603654;-74.0793574367838;4;4;577
4.6240944;-74.0792807;2;4;578
4.6240967;-74.0791634;2;4;579
4.6240967;-74.0711612;4;4;580
4.62409851951914;-74.0793472842845;4;4;581
4.62409982216358;-74.0791273216653;4;4;582
4.6241048;-74.0790698;2;4;583
4.6241085;-74.0795086;3;4;584
4.6241204;-74.0570114;2;2;585
4.6241227;-74.0770763;3;2;586
4.624135;-74.0793257;2;2;587
4.6241353;-74.0787693;2;4;588
4.6241363;-74.0757789;3;4;589
4.624137;-74.0801728;2;4;590
4.6241388;-74.0787141;2;4;591
4.6241443;-74.0785745;3;4;592
4.6241448;-74.0762222;4;4;593
4.6241479;-74.0788165;2;4;594
4.6241533;-74.0758703;2;4;595
4.6241573614017;-74.0789324057204;4;4;596
4.6241648;-74.0763271;4;4;597
4.6241649;-74.0789127;2;4;598
4.6241656;-74.0799599;2;4;599
4.6241667;-74.0178689;2;1;600
4.6241757;-74.0788652;2;4;601
4.62418537332555;-74.0788808174485;4;4;602
4.624198;-74.0729339;4;4;603
4.6241991;-74.0015725;1;1;604
4.62421;-74.0802615;2;4;605
4.6242121;-74.0766158;2;4;606
4.624217;-74.0572392;2;2;607
4.6242226;-74.0803642;5;4;608
4.6242268;-74.0762475;4;4;609
4.6242389;-74.076359;4;4;610
4.6242518;-74.0720531;4;4;611
4.6242613;-74.0790034;3;4;612
4.6242734;-74.0793053;2;4;613
4.6242749;-74.0787414;2;4;614
4.6242848;-74.0770447;3;4;615
4.6242944;-74.0808344;2;4;616
4.6243067;-74.0771601;3;4;617
4.6243112;-74.0784341;2;4;618
4.624342;-74.0793196;2;4;619
4.6243515;-74.078223;2;4;620
4.6243877;-74.0785827;2;4;621
4.6243914;-74.077637;2;4;622
4.6243919;-74.078285;2;4;623
4.6244049;-74.0809008;3;4;624
4.6244074;-74.0772638;3;4;625
4.6244079;-74.0592499;2;1;626
4.6244087;-74.0780604;3;4;627
4.6244114;-74.0728972;3;2;628
4.6244143;-74.0577629;2;2;629
4.6244189;-74.0778107;2;4;630
4.6244231;-74.0779429;2;4;631
4.6244231;-74.0735651;2;4;632
4.6244288;-74.0815178;2;4;633
4.6244341;-74.0774478;2;4;634
4.6244431;-74.0781626;2;4;635
4.6244476;-74.0809353;2;2;636
4.6244495;-74.0743072;2;4;637
4.62445;-74.0793656;3;4;638
4.6244691;-74.0776609;3;4;639
4.6244707;-74.0784251;2;4;640
4.6244717;-74.0593164;2;1;641
4.6244801;-74.0579342;2;2;642
4.6244814;-74.0779951;2;4;643
4.6244836;-74.0569603;2;2;644
4.6244836;-74.056896;2;2;645
4.6244873;-74.0778495;2;4;646
4.624501;-74.0809648;2;2;647
4.6245024;-74.0570234;2;2;648
4.624503;-74.0783285;2;4;649
4.6245037;-74.0568477;2;2;650
4.624507;-74.0778319;2;4;651
4.624518;-74.0735478;3;4;652
4.624518;-74.0593459;2;1;653
4.6245277;-74.0782335;2;4;654
4.6245279;-74.0780003;2;4;655
4.6245318;-74.0576363;2;2;656
4.6245356;-74.0820073;2;4;657
4.6245357;-74.0781116;2;4;658
4.6245385;-74.057474;2;2;659
4.6245458;-74.0580575;2;2;660
4.6245518;-74.0577798;2;2;661
4.6245532;-74.0568249;2;2;662
4.6245558;-74.057136;2;2;663
4.6245572;-74.0809768;2;2;664
4.6245575;-74.0593603;2;1;665
4.6245585;-74.0573573;2;2;666
4.6245647;-74.0720012;3;4;667
4.6245705;-74.0572795;2;2;668
4.6245705;-74.0572165;2;2;669
4.6245772;-74.0578938;2;2;670
4.62457785878625;-74.0826256870109;1;4;671
4.6245887;-74.0593662;2;1;672
4.62458892659366;-74.0826772983222;1;3;673
4.6245891;-74.081443;3;4;674
4.6245978;-74.0812775;2;2;675
4.624603;-74.0581505;2;2;676
4.6246115;-74.079239;2;4;677
4.6246159;-74.0826266;2;4;678
4.6246173;-74.0809768;2;2;679
4.6246227;-74.0568262;2;2;680
4.6246277;-74.0691306;1;3;681
4.62463254289089;-74.0828806894919;1;1;682
4.624635;-74.0593645;2;1;683
4.6246376;-74.0691877;4;3;684
4.6246427;-74.0810935;2;2;685
4.6246437;-74.0720224;2;4;686
4.6246468;-74.0582138;2;2;687
4.6246501;-74.0826442;2;3;688
4.6246505;-74.07427;4;4;689
4.6246564;-74.0820255;2;2;690
4.6246574;-74.080293;2;2;691
4.6246626;-74.0820793;2;2;692
4.62466513596955;-74.0826150393531;3;4;693
4.6246668;-74.0809621;2;2;694
4.62466968777715;-74.0826363949087;3;4;695
4.6246738;-74.0593535;2;1;696
4.6246878;-74.0828455;2;1;697
4.6246946;-74.082259;2;2;698
4.6247045;-74.0789219;2;1;699
4.6247059;-74.0788937;2;1;700
4.6247069;-74.0582974;4;2;701
4.6247088;-74.0789546;2;1;702
4.6247091;-74.0593341;2;1;703
4.62471137866158;-74.0828319945651;4;4;704
4.6247147;-74.0788672;2;1;705
4.6247156;-74.0809366;3;2;706
4.6247184;-74.0583608;2;1;707
4.6247197;-74.0720483;2;4;708
4.6247199;-74.0175346;2;1;709
4.6247204;-74.079511;2;2;710
4.6247218;-74.0585146;2;1;711
4.6247218;-74.0584166;2;1;712
4.62472197849731;-74.079550659745;4;4;713
4.6247244;-74.0796115;2;2;714
4.6247277;-74.0585678;2;1;715
4.6247334;-74.0788356;2;1;716
4.6247386;-74.0586168;2;1;717
4.6247394;-74.0593054;2;1;718
4.6247421;-74.073507;4;4;719
4.6247425;-74.0823437;2;2;720
4.6247494;-74.0788125;2;1;721
4.62475159742159;-74.0834358636308;2;4;722
4.6247524;-74.0794526;2;2;723
4.6247555;-74.079159;1;1;724
4.6247563;-74.0568852;2;2;725
4.6247622;-74.0592623;2;1;726
4.6247686;-74.0787948;2;1;727
4.6247721;-74.0749326;4;2;728
4.62477335322127;-74.0835373151025;3;4;729
4.6247782;-74.0592175;2;1;730
4.624779;-74.0587528;2;1;731
4.6247792;-74.0797107;2;4;732
4.6247866;-74.0591736;2;1;733
